# start	end	mode	name  (end = start+size-1, exact)
0x0800239C	0x080023C5	thumb	LoadTilesForSpriteSheets
0x080023C8	0x0800243F	thumb	FreeSpriteTilesByTag
0x08002440	0x0800247F	thumb	FreeSpriteTileRanges
0x08002480	0x080024AB	thumb	GetSpriteTileStartByTag
0x080024AC	0x080024D7	thumb	IndexOfSpriteTileTag
0x080024D8	0x08002523	thumb	GetSpriteTileTagByTileStart
0x08002524	0x0800256B	thumb	AllocSpriteTileRange
0x0800256C	0x08002593	thumb	RequestSpriteSheetCopy
0x08002594	0x080025C5	thumb	LoadSpriteSheetDeferred
0x080025C8	0x080025FF	thumb	FreeAllSpritePalettes
0x08002600	0x0800264B	thumb	LoadSpritePalette
0x0800264C	0x08002677	thumb	LoadSpritePalettes
0x08002678	0x0800268D	thumb	DoLoadSpritePalette
0x08002690	0x080026BF	thumb	AllocSpritePalette
0x080026C0	0x080026F7	thumb	IndexOfSpritePaletteTag
0x080026F8	0x08002707	thumb	GetSpritePaletteTagByPaletteNum
0x08002708	0x0800272F	thumb	FreeSpritePaletteByTag
0x08002730	0x08002739	thumb	SetSubspriteTables
0x0800273C	0x080027A7	thumb	AddSpriteToOamBuffer
0x080027A8	0x080029AB	thumb	AddSubspritesToOamBuffer
0x080029AC	0x080029E7	thumb	UpdateBGRegs
0x080029E8	0x08002A1B	thumb	ClearBGMem
0x08002A1C	0x08002A33	thumb	LoadFontDefaultPalette
0x08002A34	0x08002A4D	thumb	Text_LoadWindowTemplate
0x08002A50	0x08002AD5	thumb	InitWindowTileData
0x08002AD8	0x08002B2B	thumb	InitVariableWidthFontTileData
0x08002B2C	0x08002B55	thumb	LoadFixedWidthFont
0x08002B58	0x08002B8B	thumb	LoadFixedWidthFont_Font1Latin
0x08002B8C	0x08002BC7	thumb	LoadFixedWidthFont_Font4Latin
0x08002BC8	0x08002BFB	thumb	LoadFixedWidthFont_Braille
0x08002BFC	0x08002C51	thumb	MultistepInitWindowTileData
0x08002C54	0x08002CB7	thumb	MultistepLoadFont
0x08002CB8	0x08002D4F	thumb	MultistepLoadFont_LoadGlyph
0x08002D50	0x08002D51	thumb	EmptyFunc
0x08002D54	0x08002DBF	thumb	Text_InitWindowWithTemplate
0x08002DC0	0x08002E4B	thumb	Text_InitWindow
0x08002E4C	0x08002E8F	thumb	Text_InitWindow8002E4C
0x08002E90	0x08002EAD	thumb	Text_SetWindowText
0x08002EB0	0x08002F43	thumb	Contest_StartTextPrinter
0x08002F44	0x08002F9F	thumb	Text_PrintWindow8002F44
0x08002FA0	0x08002FDF	thumb	sub_8002FA0
0x08002FE0	0x0800307F	thumb	PrintNextChar
0x08003080	0x080030AB	thumb	HandleExtCtrlCode
0x080030AC	0x080030AF	thumb	ExtCtrlCode_Nop
0x080030B0	0x080030CB	thumb	ExtCtrlCode_ForegroundColor
0x080030CC	0x080030E7	thumb	ExtCtrlCode_BackgroundColor
0x080030E8	0x08003103	thumb	ExtCtrlCode_ShadowColor
0x08003104	0x08003151	thumb	ExtCtrlCode_AllColors
0x08003154	0x08003169	thumb	ExtCtrlCode_Palette
0x0800316C	0x08003181	thumb	ExtCtrlCode_Font
0x08003184	0x0800318D	thumb	ExtCtrlCode_DefaultFont
0x08003190	0x080031B5	thumb	ExtCtrlCode_Pause
0x080031B8	0x080031CB	thumb	ExtCtrlCode_WaitButton
0x080031CC	0x080031DF	thumb	ExtCtrlCode_WaitSound
0x080031E0	0x0800320F	thumb	ExtCtrlCode_PlayBGM
0x08003210	0x0800323B	thumb	ExtCtrlCode_Escape
0x0800323C	0x0800323F	thumb	ExtCtrlCode_Nop2
0x08003240	0x08003269	thumb	ExtCtrlCode_SetCursorY
0x0800326C	0x08003277	thumb	ExtCtrlCode_ClearWindowTextLines
0x08003278	0x080032A7	thumb	ExtCtrlCode_PlaySE
0x080032A8	0x08003343	thumb	DrawSpace
0x08003344	0x08003385	thumb	sub_8003344
0x08003388	0x080033AB	thumb	ExtCtrlCode_Skip
0x080033AC	0x080033D1	thumb	ExtCtrlCode_SetCursorX
0x080033D4	0x080033EF	thumb	ExtCtrlCode_SkipTo
0x080033F0	0x08003405	thumb	ExtCtrlCode_Spacing
0x08003408	0x0800340F	thumb	ExtCtrlCode_Japanese
0x08003410	0x08003417	thumb	ExtCtrlCode_Latin
0x08003418	0x0800345F	thumb	Text_PrintWindowSimple
0x08003460	0x0800348D	thumb	Text_InitWindowAndPrintText
0x08003490	0x080034D1	thumb	sub_8003490
0x080034D4	0x080034EB	thumb	RenderTextHandleBold
0x080034EC	0x08003503	thumb	sub_80034EC
0x08003504	0x08003557	thumb	sub_8003504
0x08003558	0x080035AB	thumb	sub_8003558
0x080035AC	0x080035C3	thumb	Text_UpdateWindow
0x080035C4	0x0800374B	thumb	UpdateWindowText
0x0800374C	0x08003777	thumb	Text_UpdateWindowInBattle
0x08003778	0x0800379F	thumb	Text_UpdateWindowAutoscroll
0x080037A0	0x080037C7	thumb	Contest_RunTextPrinter
0x080037C8	0x080037EF	thumb	Text_UpdateWindowOverrideLineLength
0x080037F0	0x08003815	thumb	PrintGlyph_TextMode0
0x08003818	0x08003841	thumb	DrawGlyph_TextMode0
0x08003844	0x08003867	thumb	PrintGlyph_TextMode1
0x08003868	0x08003883	thumb	WriteGlyphTilemap_Font0_Font3
0x08003884	0x080038AF	thumb	WriteGlyphTilemap_Font1_Font4
0x080038B0	0x080038CB	thumb	WriteGlyphTilemap_Font2_Font5
0x080038CC	0x080038F7	thumb	WriteGlyphTilemap_Font6
0x080038F8	0x08003929	thumb	PrintGlyph_TextMode2
0x0800392C	0x08003951	thumb	DrawGlyph_TextMode2
0x08003954	0x080039E9	thumb	LoadFixedWidthGlyph
0x080039EC	0x08003A1B	thumb	WriteGlyphTilemap
0x08003A1C	0x08003AF7	thumb	GetGlyphTilePointers
0x08003AF8	0x08003B2F	thumb	GetCursorTilemapPointer
0x08003B30	0x08003BC9	thumb	ApplyColors_UnshadowedFont
0x08003BCC	0x08003C9D	thumb	ApplyColors_ShadowedFont
0x08003CA0	0x08003CC7	thumb	SetCursorX
0x08003CC8	0x08003D01	thumb	AddToCursorX
0x08003D04	0x08003D2F	thumb	AddToCursorY
0x08003D30	0x08003D6F	thumb	EraseAtCursor
0x08003D70	0x08003E4B	thumb	ClipLeft
0x08003E4C	0x08003F3B	thumb	ClipRight
0x08003F3C	0x08003F5F	thumb	SetWindowDefaultColors
0x08003F60	0x08003F7F	thumb	SetWindowBackgroundColor
0x08003F80	0x08003F8F	thumb	SetWindowShadowColor
0x08003F90	0x08003FA3	thumb	SetWindowForegroundColor
0x08003FA4	0x08003FCD	thumb	GetTextDelay
0x08003FD0	0x0800401B	thumb	PlayerCanInterruptDelay
0x0800401C	0x08004047	thumb	ScrollWindowTextLines
0x08004048	0x080040AB	thumb	ScrollWindowTextLines_TextMode0
0x080040AC	0x08004129	thumb	DoScroll_TextMode0
0x0800412C	0x0800415F	thumb	ScrollWindowTextLines_TextModeMonospace
0x08004160	0x080041D3	thumb	DoScroll_TextModeMonospace
0x080041D4	0x08004207	thumb	ScrollWindowTextLines_TextMode2
0x08004208	0x08004317	thumb	DoScroll_TextMode2
0x08004318	0x0800436B	thumb	Text_ClearWindow
0x0800436C	0x080043C1	thumb	ClearWindowTextLines_TextMode0_TextMode1
0x080043C4	0x08004457	thumb	ClearWindowTextLines_TextMode2
0x08004458	0x080045C3	thumb	DrawDownArrow
0x080045C4	0x0800460F	thumb	WaitWithDownArrow
0x08004610	0x0800461D	thumb	DrawInitialDownArrow
0x08004620	0x08004657	thumb	UpdateDownArrowAnimation
0x08004658	0x08004679	thumb	TryEraseDownArrow
0x0800467C	0x0800468F	thumb	Text_GetWindowTilemapEntry
0x08004690	0x08004723	thumb	Text_FillWindowBorder
0x08004724	0x08004757	thumb	DrawWindowRect_DefaultPalette
0x08004758	0x080047C5	thumb	Text_FillWindowRect
0x080047C8	0x080047FB	thumb	Text_FillWindowRectDefPalette
0x080047FC	0x0800482B	thumb	Text_EraseWindowRect
0x0800482C	0x0800487B	thumb	Text_BlankWindowRect
